botname	edit_catgory	Fixer	Generator	Tagger	Clerk	Archiver	Advisor 	Connector	Protector	Notifier 
LostBot	10K ~ 100K	0	0	0	0	0	0	0	0	0
EdoBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
SelketBot	10K ~ 100K	1	0	1	0	0	0	0	0	0
OAbot	10K ~ 100K	0	0	0	0	0	0	0	0	0
OmniBot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Justincheng12345-bot	10K ~ 100K	1	0	0	0	0	0	1	0	0
UnCatBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
FACBot	10K ~ 100K	0	0	0	0	1	0	0	0	0
Sagabot	10K ~ 100K	1	0	0	0	0	0	0	0	0
XLerateBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
XyBot	10K ~ 100K	0	0	0	0	0	0	0	0	0
Roboto de Ajvol	10K ~ 100K	1	0	0	0	0	0	1	0	0
NW557Bot	10K ~ 100K	0	0	0	0	0	0	1	1	1
NjardarBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Alph Bot	10K ~ 100K	1	0	1	0	0	0	1	0	0
Giggabot	10K ~ 100K	1	0	1	0	0	0	0	0	0
UsuallyNonviolentBot	10K ~ 100K	1	0	1	0	0	0	0	0	0
RobotE	10K ~ 100K	1	0	0	1	0	0	0	0	0
Citation bot 2	10K ~ 100K	1	0	0	0	0	0	0	1	0
KnightRider~enwiki	10K ~ 100K	1	0	0	0	0	0	1	0	0
DorganBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
KocjoBot~enwiki	10K ~ 100K	1	0	0	0	0	0	1	0	0
WPArkansas Bot	10K ~ 100K	0	0	1	0	0	0	1	0	0
TTObot	10K ~ 100K	0	0	1	0	0	0	0	0	0
GrinBot~enwiki	10K ~ 100K	0	0	0	0	0	0	1	0	0
AnomieBOT III	10K ~ 100K	1	0	0	0	0	0	1	0	0
MondalorBot	10K ~ 100K	0	0	0	0	0	0	1	0	0
CounterVandalismBot	10K ~ 100K	1	0	0	0	0	0	0	1	0
SSTbot	10K ~ 100K	0	0	0	1	0	0	0	0	0
MauritsBot	10K ~ 100K	0	0	0	0	0	0	1	0	0
WeggeBot	10K ~ 100K	0	0	0	0	0	0	1	0	0
FlBot	10K ~ 100K	0	0	1	1	0	0	0	0	0
Jumbuck	10K ~ 100K	1	0	0	1	0	0	1	0	0
NetBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
Zorglbot	10K ~ 100K	0	1	0	1	0	0	0	0	0
UTRSBot	10K ~ 100K	0	0	0	1	0	0	0	0	1
MSBOT	10K ~ 100K	1	0	0	0	0	0	1	0	0
KevinalewisBot	10K ~ 100K	0	0	1	0	0	0	0	0	0
Lucasbfrbot	10K ~ 100K	0	0	1	0	0	0	1	0	0
RebelRobot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Mdann52 bot	10K ~ 100K	1	0	0	1	0	0	0	0	0
Taxobot 7	10K ~ 100K	1	0	0	0	0	1	0	0	0
JdforresterBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
RaptureBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
DixonDBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Chem-awb	10K ~ 100K	0	0	1	0	0	0	0	0	0
ZhBot	10K ~ 100K	1	0	1	0	1	0	0	0	0
TheMagikBOT	10K ~ 100K	1	0	1	0	0	0	0	0	0
Tsca.bot	10K ~ 100K	0	0	0	0	0	0	0	0	0
Anybot	10K ~ 100K	0	1	0	0	0	0	0	0	0
WugBot	10K ~ 100K	1	0	0	1	0	0	0	0	0
MoondyneAWB	10K ~ 100K	1	0	0	0	0	0	0	0	0
Almabot	10K ~ 100K	1	0	0	0	0	0	1	0	0
LinkFA-Bot	10K ~ 100K	0	0	0	1	1	0	0	0	0
ArkyBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
TechBot	10K ~ 100K	0	0	0	0	0	0	1	0	0
AccReqBot	10K ~ 100K	0	0	0	0	1	0	0	0	0
Mairibot	10K ~ 100K	0	0	0	0	0	0	0	0	0
CopyToWiktionaryBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
RoryBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
Lonjers french region rename bot	10K ~ 100K	1	0	0	0	0	0	0	0	0
SD5bot	10K ~ 100K	1	0	0	0	0	0	0	0	0
BotKung	10K ~ 100K	0	0	0	0	0	0	1	0	0
Cerabot~enwiki	10K ~ 100K	1	0	1	0	0	0	1	0	0
StatisticianBot	10K ~ 100K	0	0	0	1	0	0	0	0	0
CocuBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
DRN clerk bot	10K ~ 100K	0	0	0	1	0	0	0	0	0
Jitse's bot	10K ~ 100K	0	0	0	1	1	0	0	0	0
Ligulembot	10K ~ 100K	0	0	0	1	0	0	0	0	0
HersfoldArbClerkBot	10K ~ 100K	0	0	0	1	0	0	0	0	1
MenoBot II	10K ~ 100K	0	0	1	0	0	0	0	0	0
RockfangBot	10K ~ 100K	1	0	1	0	0	0	0	0	0
Gerakibot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Chlewbot	10K ~ 100K	1	0	0	0	0	0	1	0	0
SimplexityBot	10K ~ 100K	1	0	0	0	0	0	0	0	0
HiW-Bot	10K ~ 100K	1	0	1	0	0	0	0	0	0
AkhtaBot	10K ~ 100K	1	0	0	0	0	0	1	0	0
Crypticbot	10K ~ 100K	0	0	0	0	0	0	0	0	0
Luasóg bot	10K ~ 100K	1	0	0	0	0	1	0	0	0
SteenthIWbot	10K ~ 100K	1	0	1	0	0	0	0	0	0
SamatBot	10K ~ 100K	1	0	1	0	0	0	1	0	0
Kasirbot	10K ~ 100K	1	0	1	0	0	0	0	0	0
ThePhantomBot	10K ~ 100K	1	0	1	0	0	0	0	0	0
MessageDeliveryBot	10K ~ 100K	0	0	0	0	0	0	0	0	1
Syrcatbot	10K ~ 100K	0	0	0	0	0	0	0	0	0
CrimsonBot	1K ~ 10K	1	0	0	0	0	0	0	0	0
HerculeBot	1K ~ 10K	1	0	1	0	0	0	0	0	0
YpnBot	1K ~ 10K	0	0	0	0	0	0	0	0	0
StigBot	1K ~ 10K	0	0	0	0	0	0	1	0	0
BsherrAWBBOT	1K ~ 10K	0	0	1	0	0	0	0	0	0
KslotteBot	1K ~ 10K	0	0	1	0	0	0	0	0	0
EsquivalienceBot	1K ~ 10K	0	0	0	1	0	0	0	0	0
Mentibot	1K ~ 10K	1	0	0	0	0	0	1	0	0
John Bot III	1K ~ 10K	1	0	1	1	0	0	0	0	0
DarafshBot	1K ~ 10K	1	0	0	0	1	0	1	0	0
